num_past_loans,past_defaults,late_payments_count,avg_days_past_due,on_time_payment_ratio,repayment_regular_for_last_6m,utilization_ratio,current_outstanding_balance,active_loans_count,emi_bounce_count,field_officer_repayment_rating,declared_monthly_income,bank_avg_monthly_inflow,bank_balance_median,transaction_count_monthly,electricity_units,mobile_recharge_amount,asset_owned_count,ration_card_type,household_size,occupation_type,education_level,district_poverty_index,income_to_loan_ratio,monthly_obligation_ratio,repayment_score,ration_score,education_score,occupation_score,income_proxy_score
6.0,1.0,4.0,7.239023159900391,0.5528585038175322,1.0,,48190.67226414317,,2.0,1.6223396376200578,13980.711479754826,16369.73044247185,3236.2363878444753,9.0,180.21105082390167,231.8577697092402,2.0,APL,8.0,Self Employed,Higher Secondary,0.576435261350112,3.4812765333707967,0.042860290223752595,64.36560676446148,1.0,0.7,0.7,49.93955349252636
2.0,0.0,2.0,4.065855046777368,0.7760796968371338,1.0,0.27921204019927887,13457.851210169876,2.0,1.0,4.238445602718066,6429.137255768242,6116.6891429543675,527.0038093251632,9.0,81.34587070225889,178.9509232078059,0.0,Antyodaya,8.0,Private Job,Primary,0.9358964912043047,5.732260938505845,0.18639111048819082,94.46695286292335,0.0,0.2,0.9,22.18228670506786
1.0,0.0,4.0,7.239023159900391,0.6110188223267202,1.0,0.46725816324368613,27569.608466789654,1.0,1.0,3.413141230165998,8091.755677195801,12123.849439473715,625.5296724511401,5.0,81.90708815748835,175.90969592831883,0.0,BPL,7.0,Daily Wage,Primary,0.9240796995194966,3.5219051564753565,0.07404896870119193,85.94435457603888,0.3,0.2,,23.868659260165717
3.0,0.0,4.0,7.239023159900391,1.0,1.0,0.17969593146730303,10745.610498317908,1.0,0.0,5.0,6104.318011158849,7112.409244164448,1315.2870916878192,7.0,103.70075853332625,86.15815930295622,1.0,APL,6.0,Daily Wage,Higher Secondary,0.6266387127598732,6.81627161842069,0.0981538080001372,100.0,1.0,0.7,0.1,29.670993766658608
2.0,0.0,9.0,15.171943442707951,0.4721445773395831,1.0,0.6181479576863296,45976.19554808992,3.0,1.0,2.7187700052303123,9211.613217588725,9706.429015161872,770.8955640429081,18.0,93.34168765284416,181.09183698092454,0.0,BPL,9.0,,Higher Secondary,0.8543472115915034,2.4042214252812766,0.19514339667586086,,0.3,0.7,0.9,33.05825289003519
1.0,0.0,7.0,,0.8732386255951722,0.0,0.1246278609590469,10099.324236902996,1.0,0.0,4.724240246508258,9419.753117260436,12336.019749237917,1782.115521116399,,113.3950065460503,222.4565403377204,1.0,BPL,6.0,Self Employed,Illiterate,0.15663290368388846,,0.06361064814968112,88.64504439703116,0.3,,0.7,35.854943669013075
7.0,0.0,10.0,16.758527499269462,0.5310486003572628,1.0,0.5727807746971574,31192.1360441533,1.0,1.0,,7477.141200392593,11084.901143047508,950.55265384795,7.0,81.17925151379153,164.85218890938415,1.0,APL,,Private Job,Secondary,0.9337414206624042,2.8764563549399482,0.08013491532034789,77.40311405414411,1.0,0.5,0.9,34.15813813744917
1.0,0.0,4.0,7.239023159900391,0.8300350892887219,1.0,0.19913264172205689,13722.711737984151,1.0,0.0,4.508222564976007,8417.710399064692,9215.567821062394,1078.5195283022542,13.0,115.47101187516942,140.91286370170647,0.0,APL,4.0,Daily Wage,Primary,0.26460228943923053,7.3604376656496155,0.07118194871195976,98.57324886844445,1.0,0.2,0.1,33.76554164224129
0.0,0.0,1.0,2.4792709902158556,0.7624914161569667,1.0,0.22274508362796516,16669.970886262883,0.0,2.0,4.1705041993172305,8826.198300164127,8518.035077012517,940.8898083934057,6.0,147.84508885989518,,2.0,BPL,,Daily Wage,,0.7179036938051059,6.3532220363508936,0.0,94.94031136616044,0.3,0.7,0.1,34.0325307072089
3.0,0.0,,16.758527499269462,0.3285946412347197,0.0,0.4226370235841087,23982.002782442833,3.0,2.0,2.0010203247059954,6133.670037048402,,707.1810579942479,5.0,105.72184268509194,120.73550198782209,,,4.0,Private Job,Primary,0.7720188826107061,,0.2930525398569226,58.143485343723945,1.0,0.2,0.9,29.279477959592423
,1.0,8.0,13.58535938614644,0.5039873622013561,1.0,0.610491051576219,47020.635178101824,4.0,0.0,1.3779839295391771,8763.084946473864,10998.070006733979,,,140.6427421367478,,2.0,APL,8.0,,Secondary,0.8465247583560014,2.2363539455696864,0.2735072585475891,59.20981797074235,1.0,0.5,0.4,36.07411895199606
,0.0,2.0,4.065855046777368,0.8594004879816376,1.0,0.09521744178173504,6344.425048804566,2.0,1.0,4.655049558440585,9568.352685024554,11851.346254072612,619.6213132747828,15.0,133.14928756014763,172.24102313711924,3.0,Antyodaya,3.0,Govt Job,Higher Secondary,0.8278667469222679,18.094963117076922,0.12524571547767707,99.66639411672584,0.0,0.7,1.0,43.441513376004316
,0.0,6.0,10.412191273023415,0.5766852643468608,1.0,0.4020711540611073,24728.61984760507,1.0,1.0,3.241473440266701,8477.530142586987,10987.039759220783,,9.0,91.35157929346362,183.17883591572166,3.0,BPL,5.0,Self Employed,Primary,0.39094563765266704,4.113705036225856,0.07067972888803313,83.93746650272892,,,0.7,37.783888899123546
3.0,0.0,4.0,7.239023159900391,0.5779075820259948,0.0,0.30702866387570976,20482.277811932487,1.0,1.0,3.2475850286623706,7655.500741230361,9157.64899984496,1823.500545360868,13.0,106.83582006285772,169.74827635897677,2.0,APL,9.0,Farmer,Secondary,0.7263630547798691,4.484927155616081,0.0782681582749729,76.5036962500161,1.0,0.5,,
,0.0,2.0,4.065855046777368,1.0,1.0,0.15094837637411135,7649.280835132882,,0.0,5.0,6477.562109550192,9479.668252950127,485.0015760721864,15.0,102.15818887520284,126.49545183677068,,APL,7.0,Daily Wage,Higher Secondary,0.8139643748364447,10.160508743369832,0.18499790592844126,100.0,1.0,,,32.53444379959621
2.0,0.0,3.0,5.652439103338879,0.4608918099095166,0.0,0.39682078693469386,26465.27214527666,1.0,2.0,2.6625061680799798,9588.099461337784,9510.60491706417,578.0785655301997,,133.2631729829773,,3.0,,3.0,Self Employed,Secondary,0.6943308001025971,4.347313928629244,,70.23784166224856,1.0,,0.7,42.861640914060835
2.0,0.0,7.0,11.998775329584928,0.951850281484189,1.0,0.14916675732373796,8336.264304421347,4.0,0.0,5.0,7310.453029080118,5124.604080237046,281.06061579549026,6.0,119.94814567893089,171.70286059880567,1.0,Antyodaya,7.0,Farmer,Primary,0.6340936005328353,10.522088918596427,0.3278473974809685,98.50437197675616,0.0,0.2,0.4,24.18112524133194
0.0,0.0,5.0,,0.4853343479858696,1.0,0.3666926100497759,,1.0,3.0,2.7847188584617446,7569.085885709212,,788.5078272702095,6.0,95.56673693413111,169.61662659797918,3.0,APL,7.0,Private Job,Primary,0.22754589822466373,3.7997024078634047,0.07916161334158005,77.83194997001002,1.0,0.2,,37.67127172448371
3.0,,0.0,0.8926869336543437,0.5763784406670889,,0.18625933630770558,11186.283375423302,0.0,0.0,3.239939321867841,6221.78143252537,4574.096702993,,5.0,98.09028672762908,120.3550967895202,2.0,BPL,8.0,Farmer,Primary,0.3792272114815251,,0.0,83.66167440603198,0.3,,0.4,25.599289476102058
0.0,0.0,8.0,13.58535938614644,0.7706291091524315,1.0,0.23335349669579133,16060.448830840962,1.0,0.0,,9320.969415384203,7658.627847274897,999.2580729199111,13.0,119.21392600181406,152.88802881131326,2.0,APL,3.0,Daily Wage,Illiterate,0.47491273770936226,6.963981528854019,0.06428472194492464,,1.0,0.0,0.1,36.28760737549695
5.0,0.0,5.0,8.825607216461904,0.7720872579761079,0.0,0.29589392339522325,25415.86922492307,1.0,0.0,4.218483408412936,9781.307575001107,8528.242357048683,843.943854100013,7.0,139.64082142690225,174.02487744062043,1.0,BPL,4.0,Farmer,Primary,0.46441626305034517,4.618023166477088,0.06125959618960329,84.63655171681833,0.3,0.2,0.4,32.931357912752794
0.0,0.0,11.0,18.345111555830975,0.4645266129648068,,0.4381137116439636,29138.46403377606,4.0,1.0,2.6806801833564307,7177.947253995111,6585.39269687591,1196.268375599995,5.0,103.34111082877936,,1.0,Antyodaya,,Self Employed,Graduate,,2.9559695040409917,0.33389865708433764,73.3029742139029,0.0,1.0,0.7,
1.0,0.0,2.0,4.065855046777368,0.5138892024748332,1.0,0.1725941379613278,14085.182486704405,,0.0,2.9274931309065626,8710.485584500058,6268.341296525685,,16.0,118.43581873518504,189.5484967714418,2.0,APL,6.0,Daily Wage,Higher Secondary,0.4122063272296264,7.420451006698232,0.0,90.02629046350286,1.0,0.7,0.1,38.47642348434371
2.0,,5.0,8.825607216461904,0.7799323344914384,0.0,0.343179105428466,,0.0,0.0,4.257708790989589,5792.8365079415125,5361.3512038977215,927.3988889634463,6.0,93.05167220883727,117.70488323728577,1.0,BPL,4.0,Farmer,,0.660264327064924,,0.0,,0.3,0.2,0.4,24.64253650939321
3.0,0.0,5.0,8.825607216461904,0.6784256482013834,1.0,0.22838801606676518,20995.938055358525,1.0,1.0,3.750175359539314,9806.907339186988,8031.76455177629,1250.3884351426757,8.0,132.8318934718374,,1.0,BPL,6.0,Farmer,Secondary,0.8941725417529982,5.604764264197588,0.061099701610429366,,0.3,0.5,0.4,31.389177812967915
2.0,0.0,3.0,5.652439103338879,0.886492377391866,1.0,0.2065538991677874,11262.94232530475,2.0,1.0,4.790509005491727,6736.538800032236,,1012.1188472346057,5.0,100.20220734120676,114.03733143992872,2.0,BPL,3.0,Self Employed,Secondary,0.05879012724733216,7.176747116218897,0.17788697909812348,98.378507411185,0.3,0.5,0.7,33.68904599738242
,0.0,5.0,8.825607216461904,0.525384060608741,0.0,0.4131868076215586,21799.422877823443,4.0,1.0,2.9849674215761017,7066.196671636486,8232.144652560966,958.02015052046,5.0,121.85923861428115,117.26198360065624,0.0,BPL,5.0,Daily Wage,Primary,0.5066928816437263,3.8895740938078407,0.33917845487568693,70.3843419393058,0.3,0.2,0.1,24.642758165552596
1.0,0.0,7.0,11.998775329584928,0.8236376521745055,1.0,,,1.0,0.0,,8568.3763063477,,1414.3903062080603,5.0,91.38082002759002,158.3801464904801,,BPL,7.0,Farmer,Primary,0.4183527317301201,7.3653860316019895,0.06993043489094623,95.77885454924511,0.3,0.2,0.4,27.514973193035043
1.0,0.0,5.0,8.825607216461904,1.0,1.0,0.20932023671618596,12486.646076846513,2.0,1.0,5.0,7795.590036834939,5964.513828134595,876.7960082490964,12.0,122.85253995596705,150.58349336897777,1.0,BPL,8.0,Daily Wage,Primary,0.7225940794800894,,,100.0,0.3,0.2,0.1,25.50736403169483
2.0,,8.0,13.58535938614644,0.41386504640796623,0.0,0.318486068793697,16135.87361390638,0.0,,2.4273723505722278,5365.831988222677,4526.126010028737,486.1377111679864,5.0,94.208061555694,116.50641893278312,0.0,,9.0,Farmer,Illiterate,0.7584339771079512,3.9902390883933267,0.0,68.44029079982882,0.3,0.0,0.4,
0.0,0.0,0.0,0.8926869336543437,0.8166236823806464,1.0,0.11278126952789727,6051.333813427554,2.0,0.0,4.4411655304356294,7599.399980677228,10595.836447375545,1308.4407914887686,5.0,,128.65365193139795,0.0,BPL,6.0,Farmer,Secondary,0.8929999673772097,15.067377738783794,0.15769175658401824,100.0,0.3,0.5,0.4,26.72008474437027
1.0,0.0,,7.239023159900391,0.8500639199991784,1.0,0.23334807625964546,10085.494606111853,0.0,0.0,4.6083667185282895,4414.41023458108,4959.798522205248,791.305391368013,5.0,75.69319015466556,100.68186998486081,1.0,BPL,7.0,,Secondary,0.5023026767986977,5.251866469335573,,99.73334021798513,0.3,0.5,0.9,25.452967304341744
6.0,0.0,4.0,7.239023159900391,0.7233710844267089,0.0,0.3478244635491478,18121.449960756785,3.0,1.0,3.9749025406659415,6953.241528779865,7840.403006534565,1432.8414746889382,7.0,128.98445437070131,,,APL,8.0,Self Employed,Illiterate,0.544026645386938,4.604173195458723,,79.58137055461951,1.0,0.0,0.7,32.90402323166979
2.0,,0.0,0.8926869336543437,1.0,1.0,,2876.8823958735634,0.0,0.0,5.0,8234.349348906999,7557.533108036678,,5.0,113.34389352668263,119.76200867364862,2.0,APL,4.0,Farmer,Higher Secondary,,34.335034791055165,0.0,100.0,1.0,,0.4,
2.0,0.0,6.0,10.412191273023415,,1.0,0.13994322091966657,13076.371652862612,2.0,1.0,4.611739383709714,13027.473290163456,14498.443710083739,2775.5857110216625,14.0,175.0582549410306,201.90508495847726,2.0,Antyodaya,8.0,Farmer,,,11.954212484872004,0.09199239212464115,95.89434445193469,0.0,0.2,0.4,41.33221233270947
